account_rewards,date
-402.13143196108285,2024-04-01
397.76869298529346,2024-04-02
-4672.585560310399,2024-04-03
2878.8482706639916,2024-04-04
-2129.4696043817094,2024-04-05
9.235920589533634,2024-04-08
-2174.168648182065,2024-04-09
-1370.1322484740522,2024-04-10
-8640.46745329292,2024-04-11
-9798.873329994152,2024-04-12
-2140.181248077308,2024-04-15
-2054.6012178097153,2024-04-16
-330.96167146298103,2024-04-17
413.0249779357109,2024-04-18
9542.619361171732,2024-04-19
7150.455849548336,2024-04-22
-289.84869630623143,2024-04-23
-21694.135432582814,2024-04-24
-192.21775098040234,2024-04-25
5968.500230869278,2024-04-26
-16290.248420705786,2024-04-29
-966.5983077754499,2024-04-30
3038.4779045715695,2024-05-01
-1935.5645231876988,2024-05-02
3100.5453868084587,2024-05-03
1533.881558418274,2024-05-06
1529.2602374342969,2024-05-07
4007.7644585361704,2024-05-08
13989.558549455716,2024-05-09
-3163.852407478378,2024-05-10
-214.50077380181756,2024-05-13
13184.337577608065,2024-05-14
-6148.169940864551,2024-05-15
2885.0956425629556,2024-05-16
-2673.640680706012,2024-05-17
-8446.377682483755,2024-05-20
-2753.683197980863,2024-05-21
-20207.008302261354,2024-05-22
-4159.481582151377,2024-05-23
-12937.397741901455,2024-05-24
-12845.946187749854,2024-05-28
-18299.506187031744,2024-05-29
20242.16559033969,2024-05-30
1647.6082376498962,2024-05-31
2034.4100071068387,2024-06-03
-2411.0721358413575,2024-06-04
3504.4012987898896,2024-06-05
-7207.7830290021375,2024-06-06
-2741.9204155807383,2024-06-07
-905.8696602755226,2024-06-10
-2315.795179183944,2024-06-11
-6185.10928524402,2024-06-12
-2185.3658706359565,2024-06-13
-841.4571543502389,2024-06-14
-1251.5292236900423,2024-06-17
13667.428407646134,2024-06-18
11001.252008613665,2024-06-20
2871.645430991077,2024-06-21
-7030.514515300747,2024-06-24
-26.34293504524976,2024-06-25
3688.210441547446,2024-06-26
-3866.9933590221917,2024-06-27
-9849.36353700445,2024-06-28
-4231.938904830953,2024-07-01
6498.054534111056,2024-07-02
2253.6473367309663,2024-07-03
-8500.302072942723,2024-07-05
-7790.428017730708,2024-07-08
11616.50808625226,2024-07-09
9980.341298931045,2024-07-10
2307.983298839652,2024-07-11
1997.904459865531,2024-07-12
19789.299906564644,2024-07-15
4161.648225914105,2024-07-16
-6966.99722935108,2024-07-17
-8730.207675844198,2024-07-18
