time/iterations,train/reward,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/value_loss,train/loss,train/n_updates,rollout/ep_rew_mean,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,train/explained_variance,train/std,train/learning_rate,train/clip_range,train/approx_kl
1,1735.6451,12,2048,165,,,,,,,,,,,,,
2,-93.71534,25,4096,162,-41.153378415107724,17198511.675,9961651.0,10,201105.800735,0.0048828125,-0.007041842304170131,2957.0,2.1457672119140625e-06,1.0003210306167603,0.00025,0.2,0.0035655205
3,1923.8723,38,6144,158,-41.160640478134155,93007148.625,27415308.0,20,266355.906464,0.000634765625,-0.004898532350489404,2957.0,-2.6226043701171875e-06,1.0004627704620361,0.00025,0.2,0.0019765354
4,1813.1897,52,8192,156,-41.16904203891754,94647103.175,67912272.0,30,266355.906464,0.003466796875,-0.005480175092816353,2957.0,-2.193450927734375e-05,1.0009490251541138,0.00025,0.2,0.003128142
5,-1704.5754,65,10240,156,-41.1848197221756,20026648.8125,9115684.0,40,286982.39250400005,0.017138671875,-0.008727422871743329,2957.0,8.404254913330078e-06,1.0015075206756592,0.00025,0.2,0.0056556356
6,-97.18336,79,12288,154,-41.20227847099304,60024337.95,23788214.0,50,278958.4090705,0.016162109375,-0.010800994581950362,2957.0,-1.0967254638671875e-05,1.0022255182266235,0.00025,0.2,0.0058177663
7,1859.3956,92,14336,155,-41.22871296405792,57207848.0125,45128280.0,60,278958.4090705,0.1134765625,-0.012181731837335974,2957.0,2.3245811462402344e-06,1.0033642053604126,0.00025,0.2,0.01311996
8,-3633.1272,105,16384,155,-41.2558737039566,25188371.1125,10579546.0,70,281416.85123000003,0.049853515625,-0.013431272050365806,2957.0,-2.4080276489257812e-05,1.0041106939315796,0.00025,0.2,0.008695354
9,1419.3341,118,18432,154,-41.277022528648374,62733657.9125,27488722.0,80,282043.13554650004,0.07998046875,-0.014115904737263919,2957.0,3.5762786865234375e-07,1.0047845840454102,0.00025,0.2,0.010622263
10,-8403.204,132,20480,154,-41.30275280475617,56307685.3625,40429312.0,90,282043.13554650004,0.082666015625,-0.01758201252669096,2957.0,-7.152557373046875e-07,1.0058127641677856,0.00025,0.2,0.009318582
11,643.2032,146,22528,153,-41.31925566196442,98762454.35,31641090.0,100,303385.7243974286,0.026611328125,-0.011951510660583153,2957.0,-4.76837158203125e-06,1.0058770179748535,0.00025,0.2,0.007202005
12,857.9358,159,24576,154,-41.33611931800842,35032189.1875,11387053.0,110,296054.876505,0.071728515625,-0.018401739429100415,2957.0,-5.960464477539062e-07,1.0071033239364624,0.00025,0.2,0.009743227
13,-130.31825,172,26624,154,-41.381872701644895,48710430.0875,21135254.0,120,293837.050585,0.118896484375,-0.02024950037302915,2957.0,-1.1920928955078125e-07,1.008866548538208,0.00025,0.2,0.01178265
14,4463.252,184,28672,154,-41.42220366001129,65464461.775,25108936.0,130,293837.050585,0.095458984375,-0.013074741730815732,2957.0,-3.5762786865234375e-07,1.0101113319396973,0.00025,0.2,0.010048632
15,-75.10911,197,30720,155,-41.4474639415741,23568602.6625,8035903.5,140,307951.7621636,0.02890625,-0.013238356640795246,2957.0,-1.0967254638671875e-05,1.0105490684509277,0.00025,0.2,0.006747508
16,76.65574,210,32768,155,-41.457767844200134,102379645.375,39158316.0,150,312770.70586272725,0.047900390625,-0.012126589524268639,2957.0,-1.1920928955078125e-07,1.0109151601791382,0.00025,0.2,0.00794575
17,-1645.7539,223,34816,155,-41.470805811882016,75703367.95,44664056.0,160,312770.70586272725,0.039306640625,-0.013853646314237267,2957.0,-1.1920928955078125e-07,1.011484980583191,0.00025,0.2,0.007650946
18,-5314.223,236,36864,156,-41.49735834598541,24473906.125,14790190.0,170,315771.3557018333,0.04560546875,-0.01707645217247773,2957.0,0.0,1.0128103494644165,0.00025,0.2,0.008052337
19,-520.69775,249,38912,156,-41.53012194633484,60324129.4625,28512916.0,180,309558.89579676924,0.04697265625,-0.014047760126413778,2957.0,-1.1920928955078125e-07,1.0136319398880005,0.00025,0.2,0.0075209625
20,-956.0652,262,40960,155,-41.57486612796784,50352304.1875,23969984.0,190,309558.89579676924,0.36005859375,-0.008987856411840767,2957.0,0.0,1.0155868530273438,0.00025,0.2,0.017155506
21,-1111.1609,277,43008,155,-41.60005214214325,27674136.5125,16029586.0,200,309501.9395795714,0.04248046875,-0.013737147419305984,2957.0,5.960464477539062e-07,1.0158673524856567,0.00025,0.2,0.008234819
22,-429.82645,290,45056,154,-41.637831807136536,55863899.05,27020606.0,210,304106.28260986664,0.145263671875,-0.018588689171883742,2957.0,1.1920928955078125e-07,1.0181818008422852,0.00025,0.2,0.013806801
23,815.1031,304,47104,154,-41.68293168544769,51641286.2375,18628686.0,220,304106.28260986664,0.086083984375,-0.0175938903412316,2957.0,1.7881393432617188e-07,1.0192606449127197,0.00025,0.2,0.010265358
24,-105.00381,317,49152,154,-41.71858909130096,26684177.58125,10213792.0,230,294510.42802075006,0.096630859375,-0.018777681078063324,2957.0,1.7881393432617188e-07,1.0202937126159668,0.00025,0.2,0.014044277
25,1757.1831,330,51200,154,-41.74285457134247,18679642.65,8618954.0,240,290053.8498884706,0.073828125,-0.018468382066930644,2957.0,0.0,1.0211299657821655,0.00025,0.2,0.009313331
