account_rewards,date
116.98581621563062,2017-01-03
20.718939338694327,2017-01-04
326.7220896910876,2017-01-05
-780.3512232666835,2017-01-06
-771.5001047857804,2017-01-09
1106.8723462409107,2017-01-10
-422.0954624786973,2017-01-11
21.162605712772347,2017-01-12
953.5944623833057,2017-01-13
-132.49861573020462,2017-01-17
-495.64084540179465,2017-01-18
2049.8448442764347,2017-01-19
-150.59271401981823,2017-01-20
1744.534896293655,2017-01-23
1986.9887335509993,2017-01-24
-1033.794890731806,2017-01-25
-271.40836132038385,2017-01-26
-2450.294001121656,2017-01-27
-364.0719633598346,2017-01-30
-1177.0977897034027,2017-01-31
-913.9570685119834,2017-02-01
3570.547764061019,2017-02-02
-162.18192044459283,2017-02-03
2835.8607931290753,2017-02-06
1634.116449829191,2017-02-07
5570.243507442414,2017-02-08
3488.6972381668165,2017-02-09
4484.504942771979,2017-02-10
2265.566081085126,2017-02-13
10534.120255302521,2017-02-14
1309.7834713668562,2017-02-15
-3501.260430439026,2017-02-16
5703.074115936295,2017-02-17
3171.485236927052,2017-02-21
2990.7833283004584,2017-02-22
1496.369722698233,2017-02-23
-1178.6576417732285,2017-02-24
-1293.1358003425412,2017-02-27
13057.802904144279,2017-02-28
-4055.0112769280095,2017-03-01
-3280.119800845976,2017-03-02
-1429.7278846970294,2017-03-03
-1061.662582931458,2017-03-06
-3069.4355827674735,2017-03-07
152.49754783243407,2017-03-08
6559.82051482785,2017-03-09
-575.7595160980709,2017-03-10
-3819.6722263947595,2017-03-13
5724.070759597933,2017-03-14
-966.6861671905499,2017-03-15
-180.3704974062275,2017-03-16
-2667.8768297728384,2017-03-17
-6672.261752254446,2017-03-20
-2094.7836722107604,2017-03-21
-1356.728285854333,2017-03-22
-1452.831795906066,2017-03-23
-1752.1490089187864,2017-03-24
4295.902495594113,2017-03-27
-3058.1030940857017,2017-03-28
158.61316449730657,2017-03-29
-2372.5087969169253,2017-03-30
674.4834038353292,2017-03-31
-1207.0330686798552,2017-04-03
-2161.262175106094,2017-04-04
-1014.609907047241,2017-04-05
-175.84649118036032,2017-04-06
802.8515827521915,2017-04-07
979.0665017776191,2017-04-10
595.5742746010656,2017-04-11
-5299.546234924346,2017-04-12
8679.326927299495,2017-04-13
-1219.127203533193,2017-04-17
-7350.9572136650095,2017-04-18
3795.4022215347504,2017-04-19
-2721.1889457702637,2017-04-20
8630.178825378418,2017-04-21
6939.100967407227,2017-04-24
-4249.349380493164,2017-04-25
990.7656593322754,2017-04-26
-279.42599868774414,2017-04-27
-3998.592254638672,2017-04-28
-1217.9063415527344,2017-05-01
460.8593101501465,2017-05-02
2540.0632858276367,2017-05-03
-2268.025775909424,2017-05-04
-1054.1922607421875,2017-05-05
-4109.020999908447,2017-05-08
-903.0409812927246,2017-05-09
-1670.5120887756348,2017-05-10
-1158.4739456176758,2017-05-11
1929.6880836486816,2017-05-12
-1239.534080505371,2017-05-15
-9381.884090423584,2017-05-16
1912.1164894104004,2017-05-17
3295.063262939453,2017-05-18
7147.366893768311,2017-05-19
-783.442138671875,2017-05-22
1798.0029602050781,2017-05-23
6574.633148193359,2017-05-24
1347.9871139526367,2017-05-25
-973.4129676818848,2017-05-26
5678.918472290039,2017-05-30
5912.170013427734,2017-05-31
3434.4403800964355,2017-06-01
1000.6156578063965,2017-06-02
-4598.351089477539,2017-06-05
541.5532188415527,2017-06-06
-1071.065731048584,2017-06-07
4118.30814743042,2017-06-08
1866.1604843139648,2017-06-09
3755.450038909912,2017-06-12
5236.639663696289,2017-06-13
2056.855888366699,2017-06-14
-334.040340423584,2017-06-15
1705.8421478271484,2017-06-16
-3086.079116821289,2017-06-19
-1804.1232376098633,2017-06-20
-3404.9243545532227,2017-06-21
1461.8215942382812,2017-06-22
1910.7674942016602,2017-06-23
-6370.665782928467,2017-06-26
3519.8347358703613,2017-06-27
-8537.306743621826,2017-06-28
235.5014877319336,2017-06-29
6538.61030960083,2017-06-30
-1734.5609550476074,2017-07-03
-7258.728866577148,2017-07-05
4465.906364440918,2017-07-06
-1712.027099609375,2017-07-07
-2531.887233734131,2017-07-10
4712.902275085449,2017-07-11
-781.1325187683105,2017-07-12
5827.570030212402,2017-07-13
202.24290466308594,2017-07-14
1994.5644721984863,2017-07-17
2074.2052001953125,2017-07-18
667.3963317871094,2017-07-19
-1441.3238410949707,2017-07-20
-199.2355499267578,2017-07-21
-6465.060924530029,2017-07-24
-2783.510124206543,2017-07-25
2444.0605430603027,2017-07-26
3133.4816551208496,2017-07-27
6843.119556427002,2017-07-28
7548.232372283936,2017-07-31
887.1922416687012,2017-08-01
3251.2020683288574,2017-08-02
315.0323143005371,2017-08-03
-387.34831619262695,2017-08-04
-1166.511848449707,2017-08-07
1477.549144744873,2017-08-08
-7068.3160400390625,2017-08-09
-855.7294921875,2017-08-10
5955.692893981934,2017-08-11
1668.7167778015137,2017-08-14
2956.626922607422,2017-08-15
-9203.31636428833,2017-08-16
-4123.307319641113,2017-08-17
3778.5235710144043,2017-08-18
6047.306102752686,2017-08-21
-3479.037509918213,2017-08-22
-2566.727783203125,2017-08-23
3607.594352722168,2017-08-24
-3810.2517623901367,2017-08-25
1873.978645324707,2017-08-28
-2087.1353073120117,2017-08-29
1912.745719909668,2017-08-30
260.70684814453125,2017-08-31
-8676.254398345947,2017-09-01
5602.878143310547,2017-09-05
152.04592514038086,2017-09-06
4912.112823486328,2017-09-07
16345.359130859375,2017-09-08
-781.1174011230469,2017-09-11
302.7200508117676,2017-09-12
-1598.8247108459473,2017-09-13
